customer_id,date,amount,category,description,type
1001,2024-09-27 15:35:43.736032,82.39,Transportation,Transportation Purchase,debit
1001,2024-09-27 15:35:43.736032,637.46,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-09-28 15:35:43.736032,1127.54,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-09-28 15:35:43.736032,191.87,Transportation,Transportation Purchase,debit
1001,2024-09-28 15:35:43.736032,197.02,Utilities,Utilities Purchase,debit
1001,2024-09-29 15:35:43.736032,1.0,Dining,Dining Purchase,debit
1001,2024-09-30 15:35:43.736032,96.21,Transportation,Transportation Purchase,debit
1001,2024-10-01 15:35:43.736032,1529.23,Income,Salary Deposit,credit
1001,2024-10-01 15:35:43.736032,407.74,Healthcare,Healthcare Purchase,debit
1001,2024-10-01 15:35:43.736032,1062.22,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-01 15:35:43.736032,505.99,Travel,Travel Purchase,debit
1001,2024-10-02 15:35:43.736032,130.51,Utilities,Utilities Purchase,debit
1001,2024-10-03 15:35:43.736032,222.44,Education,Education Purchase,debit
1001,2024-10-03 15:35:43.736032,104.21,Entertainment,Entertainment Purchase,debit
1001,2024-10-04 15:35:43.736032,434.6,Groceries,Groceries Purchase,debit
1001,2024-10-05 15:35:43.736032,11.83,Travel,Travel Purchase,debit
1001,2024-10-05 15:35:43.736032,156.65,Healthcare,Healthcare Purchase,debit
1001,2024-10-05 15:35:43.736032,55.03,Dining,Dining Purchase,debit
1001,2024-10-06 15:35:43.736032,911.12,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-06 15:35:43.736032,340.39,Groceries,Groceries Purchase,debit
1001,2024-10-06 15:35:43.736032,71.75,Groceries,Groceries Purchase,debit
1001,2024-10-06 15:35:43.736032,209.79,Groceries,Groceries Purchase,debit
1001,2024-10-07 15:35:43.736032,132.26,Transportation,Transportation Purchase,debit
1001,2024-10-07 15:35:43.736032,38.68,Dining,Dining Purchase,debit
1001,2024-10-07 15:35:43.736032,1.0,Subscription,Subscription Purchase,debit
1001,2024-10-07 15:35:43.736032,828.44,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-09 15:35:43.736032,309.79,Savings/Investment,Savings/Investment Purchase,debit
1001,2024-10-09 15:35:43.736032,195.91,Groceries,Groceries Purchase,debit
1001,2024-10-09 15:35:43.736032,393.1,Travel,Travel Purchase,debit
1001,2024-10-10 15:35:43.736032,689.9,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-11 15:35:43.736032,395.13,Education,Education Purchase,debit
1001,2024-10-11 15:35:43.736032,13.47,Dining,Dining Purchase,debit
1001,2024-10-13 15:35:43.736032,100.15,Dining,Dining Purchase,debit
1001,2024-10-13 15:35:43.736032,653.82,Travel,Travel Purchase,debit
1001,2024-10-15 15:35:43.736032,1458.51,Income,Salary Deposit,credit
1001,2024-10-15 15:35:43.736032,1033.34,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-15 15:35:43.736032,106.21,Groceries,Groceries Purchase,debit
1001,2024-10-16 15:35:43.736032,48.25,Dining,Dining Purchase,debit
1001,2024-10-16 15:35:43.736032,33.22,Subscription,Subscription Purchase,debit
1001,2024-10-16 15:35:43.736032,980.55,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-17 15:35:43.736032,6.16,Subscription,Subscription Purchase,debit
1001,2024-10-17 15:35:43.736032,741.15,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-18 15:35:43.736032,442.52,Entertainment,Entertainment Purchase,debit
1001,2024-10-18 15:35:43.736032,161.32,Transportation,Transportation Purchase,debit
1001,2024-10-19 15:35:43.736032,67.67,Dining,Dining Purchase,debit
1001,2024-10-19 15:35:43.736032,1076.53,Rent/Mortgage,Rent/Mortgage Purchase,debit
1001,2024-10-20 15:35:43.736032,50.24,Dining,Dining Purchase,debit
